repository_name,site,views,unique_visitors/cloners
pdp-mcp,Google,21,3
pdp-mcp,confluence.prod.aws.jpmchase.net,1,1
pdp-mcp,developer.payments.jpmorgan.com,108,45
pdp-mcp,gateway.zscloud.net,1,1
pdp-mcp,github.com,22,6
pdp-mcp,github.dev,10,1
pdp-mcp,linkedin.com,1,1
pdp-mcp,statics.teams.cdn.office.net,10,1
